,comments,likes
191,더뉴 그랜저 영상 보고서 왔습니다.  차분한 분위기에 가장 객관적인 시승기라고 생각됩니다. 잘보고 갑니다,2
192,제가 지금 c클래스 타고 있는데 승차감이 c클이랑 비교하면 더 부드럽나요 단단한가요,2
193,"외장이야 두말하면 입아프게 멋진데, 실내가 좀 갸우뚱 하네요. 소재적인 측면에서 실제로 보면 고급스러워 보일수도 있겠으나, 모던하거나 단정한것도 아니고, 그렇다고 빨간 색을 빼면 화려한건 지도 모르겠네요",4
194,외장색상 그레이만 실내 빨간색이 가능한가요 ? 흰색은 무조건 검정색만 나오나요 ?,2
195,시승기 잘 봤습니다. 그란쿠페 가솔린과 디젤 모델 중에 어떤 엔진을 추천하시나요?,2
196,부드러운 말투의 좋은 설명 감사합니다. 잘봤어요. :),2
197,잘봤습니다~,2
198,리뷰 후 BMW지니어스분께 궁금한걸 여쭤봤습니다. 아래 영상에서 확인해주세요https://youtu.be/lywgn8UIWb8,33
199,예전 카메라울렁증에서시작해서 리뷰가많이늘었지만 긴장때문에 소리지르면서 했던게 어끄제같은데 많은일들도있으며 대표로 멘탈도 쌔지고 이제는 진짜 리뷰어처럼 잘하는듯,4
200,원래 성로님 리뷰괜찮게봤는데 점점 업그레이드 되시는모습에 아마도 동갑내기로서 많이 배우고갑니다 관심차량인데 잘봤어요,1
201,진짜 리뷰력 일취월장입니다. 옛날 No님 존재감생각안들정도로 잘하시넹ㅎㅎ,16
202,디자인이 완전 취향저격이네요... 개인적으로 아우디 r8이나 포르쉐 991보다 디자인은 훨씬 마음에 듭니다.,5
203,z8 이후로 디자인 원탑 갑! 진짜 잘 빠짐 m8나오면 공도제왕 될지도. 포르쉐도 좋아하지만 똑같이 뒷자리 버리고 타는거라면 8시리즈 한표,7
204,e63 m6는 영원한 드림카였는데 8시리즈 보니 확실히 신차가 갑이네요,2
205,6시리즈도 너무너무 이뻤는데 진짜 8시리즈는 대박이네요.. 하.. 돈만 있음 진짜 사고싶다,74
206,s클래스 쿠페랑 비교가 안된다고하셨는데 해외에서 현재 유일하게 그랜드투어러에 들어가는 BMW 차종입니다.,2
207,윤대표 리뷰 실력많이 늘었음,56
208,운전 취향이 저랑 정확~히 맞아 떨어지는군요 ㅎㅎ 좋은 정보 고맙습니다..,25
209,c43amg 타다 기변시기가 와서 gt43과 840i 그란쿠페중 고민 많이 했는데까탈스런(?) 윤성로님이 차 좋다는 말에 840i 그란쿠페로 결정 했습니다2천키로정도 탔는데 현재로썬 너무 만족하고있습니다 감사합니다~~,4
210,디자인 진짜 존나 간지네,4
211,넘 멋잇어 보인다...   승차감도 굳일꺼 같음...,1
212,840은 호불호가 없는듯.. 오늘 지나가다 봤는데 뒷모습 개지림,3
213,그란쿠페도 좋습니다~2열이 이 급에서는 가장 좋은듯..언제 한 번 리뷰해주세요,2
214,영상 퀄이 미쳤습니다 엄지척 👍,8
215,이형 리뷰들보면 비엠은까고 아우디는 구형중형 조차도 엄청칭찬하던데 이번8시리즈는 정말 잘나왔나보네,1
216,너무 멋지게 잘나와서 모습만 봐도   와 ~~~ 가지고싶다 ㅎ 그래도 보는것만으로도 멋지네요,5
217,그렇죠 일반인들은  가끔 쏘는맛으로 타죠.틈만 나는데로 드레프트나 숏턴에서 미친듯 밟지않죠~^^ 그리고 300마력도 제대로 컨트롤 하는 사람도 많지않을듯,2
218,이 형님 리뷰 잘하심 보기좋음 ㅎㅎ,1
219,G바디 3시리즈도 진짜 잘 나왔는데 이거는 그냥 영상으로만 봐도 팬티가 축축해지는 느낌입니다요,14
